route_id_original,service_id,trip_id_original,trip_headsign,direction_id,block_id,shape_id_original,wheelchair_accessible,bikes_allowed,agency_raw_name,original_trip_id,trip_short_name,trip_bikes_allowed,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,route_id,trip_id,shape_id
01,WKDY,90SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1051,1.0
01,WKDY,91SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1055,1.0
11,WKDY,01DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,5,9.0
11,WKDY,02DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,17,9.0
11,WKDY,03DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,29,9.0
11,WKDY,04DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,41,9.0
11,WKDY,05DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,53,9.0
11,WKDY,06DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,65,9.0
11,WKDY,07DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,77,9.0
11,WKDY,08DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,89,9.0
11,WKDY,09DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,101,9.0
11,WKDY,10DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,133,9.0
11,WKDY,11DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,165,9.0
11,WKDY,12DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,197,9.0
11,WKDY,13DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,229,9.0
11,WKDY,14DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,261,9.0
11,WKDY,15DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,293,9.0
11,WKDY,16DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,325,9.0
11,WKDY,17DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,357,9.0
11,WKDY,18DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,375,9.0
11,WKDY,19DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,387,9.0
11,WKDY,20DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,399,9.0
11,WKDY,21DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,411,9.0
11,WKDY,22DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,423,9.0
11,WKDY,23DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,435,9.0
11,WKDY,24DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,447,9.0
11,WKDY,25DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,459,9.0
11,WKDY,26DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,471,9.0
11,WKDY,27DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,483,9.0
11,WKDY,28DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,495,9.0
11,WKDY,29DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,507,9.0
11,WKDY,30DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,519,9.0
11,WKDY,31DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,531,9.0
11,WKDY,32DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,543,9.0
11,WKDY,33DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,555,9.0
11,WKDY,34DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,567,9.0
11,WKDY,35DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,579,9.0
11,WKDY,36DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,591,9.0
11,WKDY,37DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,603,9.0
11,WKDY,38DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,615,9.0
11,WKDY,39DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,627,9.0
11,WKDY,40DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,639,9.0
11,WKDY,41DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,651,9.0
11,WKDY,42DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,663,9.0
11,WKDY,43DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,675,9.0
11,WKDY,44DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,687,9.0
11,WKDY,45DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,699,9.0
11,WKDY,46DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,711,9.0
11,WKDY,47DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,723,9.0
11,WKDY,48DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,735,9.0
11,WKDY,49DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,747,9.0
11,WKDY,50DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,759,9.0
11,WKDY,51DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,771,9.0
11,WKDY,52DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,783,9.0
11,WKDY,53DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,793,9.0
11,WKDY,54DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,803,9.0
11,WKDY,55DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,813,9.0
11,WKDY,56DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,823,9.0
11,WKDY,57DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,833,9.0
11,WKDY,58DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,843,9.0
11,WKDY,59DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,853,9.0
11,WKDY,60DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,861,9.0
11,WKDY,61DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,869,9.0
11,WKDY,62DCM20,Daly City,0.0,,11_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,5,877,9.0
