stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
757497,33100,,Hanna Boys Center,,38.32076843,-122.5021438,470,,0,,
758058,957,,North St. & Jefferson St.,,38.8121496574,-123.0240130654,550,,0,,
758005,86720,,Broadway & Leveroni Rd.,,38.27715705,-122.4599655,470,,0,,
757074,00700,,Ac. Santa Rosa Junior College,,38.45503268,-122.7172169,467,,0,,
757940,75000,,Snyder Ln. & RP Expressway,,38.34492622,-122.685618,471,,0,,
757722,54400,,N. McDowell Blvd. (Lucchesi Park),,38.2523146,-122.6311875,472,,0,,
758007,86900,,Sonoma Valley Hospital,,38.28848503,-122.4655984,470,,0,,
757723,54500,,N. McDowell Blvd. & Lynch Creek Way,,38.25338689,-122.6330373,472,,0,,
758933,70730,,Burton Ave. & Bernice Ave.,,38.336985772554,-122.69811809063,471,,0,,
757765,58100,,East Cotati Ave. & Cristobal Way,,38.3351866,-122.6868726,471,,0,,
757836,65700,,Corby Extension,,38.41348062,-122.7193553,467,,0,,
757365,21000,,Hwy. 12 & Llano Rd.,,38.41201252,-122.7941031,466,,0,,
757219,11900,,Old Redwood Hwy. & Billington Ln.,,38.53530859,-122.7882376,463,,0,,
757738,55300,,N. McDowell Blvd. & Rand St.,,38.26777574,-122.6585469,472,,0,,
757821,64400,,Palm Dr. Hospital,,38.39692224,-122.8201819,466,,0,,
947,94800,,Fitch St. & Grant St.,,38.616421511068,-122.867320370356,462,,0,,
757908,72700,,RP Expressway & Country Club Dr.,,38.34811828,-122.7002912,471,,0,,
757781,61100,,Hwy. 116 & Daywalt Rd. (N xing 116),,38.35895541,-122.7714949,466,,0,,
757841,66200,,Moorland Ave. & Thistle Ln.,,38.39883714,-122.7186205,467,,0,,
757851,67700,,Mirabel Rd. & Davis Rd.,,38.48076899,-122.8947293,465,,0,,
757991,85600,,Lakeville St. & SB Hwy. 101 on-ramp,,38.23417966,-122.6192798,472,,0,,
757452,30220,,2nd St. W. & Bettencourt St.,,38.28691122,-122.4619977,470,,0,,
757571,40900,,Santa Rosa Ave. & Burt St.,,38.40925313,-122.7137078,467,,0,,
757260,14410,,Fulton Rd. & Airport Blvd.,,38.51068055,-122.7700679,463,,0,,
757230,12400,,Old Redwood Hwy. & Colonial Park Dr.,,38.5188485725328,-122.773230016394,463,,0,,
757745,56000,,Petaluma Hill Rd. & East Railroad Ave.,,38.30904114,-122.6664287,471,,0,,
757129,03900,,Starr Rd. & Colleen Dr.,,38.55397225,-122.825971,463,,0,,
757808,63300,,Hwy. 116 & Daywalt Rd. (N xing 116),,38.35912251,-122.7713102,466,,0,,
757761,57700,,Snyder Ln. & Mountain View Ave.,,38.380432,-122.685822,471,,0,,
757190,09100,,Healdsburg Ave. & Lytton Springs Rd.,,38.658852,-122.8717621,462,,0,,
757102,01900,,Old Redwood Hwy. & Mark West Springs Rd.,,38.4988560367303,-122.749122651486,463,,0,,
757151,05900,,Geyserville Ave. & Tzabaco Creek Rd.,,38.69346736,-122.8853573,461,,0,,
757344,20200,,Graton Rd. & Hwy. 116,,38.43684683,-122.858364,466,,0,,
757166,07300,,Cloverdale Blvd. & South St.,,38.80027783,-123.0164808,460,,0,,
757952,76800,,Irwin Ln. & Hwy. 12,,38.41797344,-122.7895855,466,,0,,
757082,01050,,Kaiser Stop / Bicentennial Ave,,38.47034051,-122.7257001,467,,0,,
757507,34100,,Hwy. 12 & Libby Ave.,,38.41193128,-122.5444157,468,,0,,
757789,61800,,Redwood Dr. & RP Expressway,,38.34768745,-122.7166747,471,,0,,
757831,65200,,Moorland Ave. & West Robles Ave.,,38.39438405,-122.7184786,467,,0,,
757124,03400,,Windsor River Rd. & Old Redwood Hwy.,,38.54742656,-122.8115173,463,,0,,
757291,16200,,Santa Rosa Junior College,,38.45387671,-122.7175856,467,,0,,
757609,45000,,Old Redwood Hwy. & Valparaiso Ave.,,38.32048088,-122.7016937,471,,0,,
757103,01910,,Larkfield Shopping Center,,38.50125011,-122.7515788,463,,0,,
757786,61500,,Hwy. 116 & Redwood Dr.,,38.33161793,-122.7164093,471,,0,,
758022,88700,,Conde Ln.,,38.5362236507,-122.8001727649,463,,0,,
757826,64700,,Amarosa Academy,,38.39713582,-122.7234076,467,,0,,
757274,15500,,Old Redwood Hwy. (Kaiser Stein Bldg.),,38.48283847,-122.7346954,467,,0,,
