trip_id,block_id,route_id,service_id,direction_id,shape_id
303,30,c7347cd,1,1,391a_wb1
304,30,c7347cd,1,0,391a_eb1
305,30,c7347cd,1,1,391a_wb1
306,30,fc3f6b8,1,0,390a_eb1
307,30,c7347cd,1,0,391a_eb1
308,30,a2c0567,1,1,300a_wb1
309,31,2eef964,1,0,388a_eb1
310,31,a2c0567,1,0,300a_eb1
311,31,e0c3cae,1,1,387a_wb1
312,31,3b29cf5,1,0,389a_loop1
313,31,a652b17,1,0,380a_eb1
314,32,a652b17,1,0,380a_ebsd1
315,32,fc3f6b8,1,1,390a_wb1
316,32,fc4f8bf,1,1,201a_wb1
317,32,fc4f8bf,1,0,201a_eb1
318,32,c7347cd,1,0,391a_eb1
319,32,2eef964,1,1,388a_wb1
320,32,3b29cf5,1,0,389a_loop1
321,32,a652b17,1,0,380a_eb1
322,32,a2c0567,1,0,300a_eb1
323,32,c7347cd,1,1,391a_wb1
324,33,fc4f8bf,1,1,201a_wb1
325,33,fc4f8bf,1,0,201a_eb1
326,33,c7347cd,1,0,391a_eb1
327,33,9016482,1,1,385a_wb1a
328,33,a652b17,1,1,380a_wb1
329,33,3b29cf5,1,0,389a_loop1
330,33,a652b17,1,0,380a_eb1
331,33,e0c3cae,1,1,387a_wb1
332,33,fc4f8bf,1,1,201a_wb1
333,33,fc4f8bf,1,0,201a_eb1
334,34,a2c0567,1,1,300a_wb1
335,34,e0c3cae,1,1,387a_wb1
336,34,3b29cf5,1,0,389a_loop1
337,34,e0c3cae,1,0,387a_eb1
338,34,2eef964,1,1,388a_wb1
339,34,e0c3cae,1,0,387a_eb1
340,34,a2c0567,1,0,300a_eb1
341,35,2eef964,1,1,388a_wb1
342,35,a652b17,1,0,380a_eb1
343,35,b2fbe68,1,1,379a_wb1
344,35,9016482,1,1,385a_wb1a
345,35,a2c0567,1,0,300a_eb1
346,35,c7347cd,1,1,391a_wb1
347,35,c7347cd,1,0,391a_eb1
348,35,e0c3cae,1,1,387a_wb1
349,35,c7347cd,1,0,391a_eb1
350,36,e0c3cae,1,1,387a_wb1
351,36,2eef964,1,0,388a_eb1
352,36,2eef964,1,1,388a_wb1
353,36,3b29cf5,1,0,389a_loop1
354,36,2eef964,1,0,388a_eb1
355,36,2eef964,1,1,388a_wb1
356,36,a652b17,1,0,380a_eb1
357,36,a2c0567,1,0,300a_eb1
358,37,a2c0567,1,1,300a_wb1
359,37,fc3f6b8,1,1,390a_wb1
360,37,a652b17,1,1,380a_wb1
361,37,a652b17,1,0,380a_eb1
362,37,a652b17,1,1,380a_wb1
363,38,fc3f6b8,1,1,390a_wb1
364,38,e0c3cae,1,1,387a_wb1
365,38,fc3f6b8,1,0,390a_eb1
366,39,a652b17,1,0,380a_eb1
367,39,a652b17,1,1,380a_wb1
368,39,fc4f8bf,1,1,201a_wb1
369,39,fc4f8bf,1,0,201a_eb1
370,39,e0c3cae,1,0,387a_eb1
371,39,9016482,1,0,385a_eb1s
372,39,a2c0567,1,1,300a_wb1
373,39,a652b17,1,1,380a_wb1
374,39,2eef964,1,0,388a_eb1
375,40,c7347cd,1,1,391a_wb1
376,40,a2c0567,1,0,300a_eb1
377,40,c7347cd,1,1,391a_wb1
378,40,fc3f6b8,1,0,390a_eb1
379,41,9016482,1,0,385a_eb1a
380,41,a2c0567,1,1,300a_wb1
381,41,2eef964,1,1,388a_wb1
382,41,2eef964,1,0,388a_eb1
383,42,c7347cd,1,1,391a_wb1
384,43,a2c0567,1,1,300a_wb1
385,43,a2c0567,1,0,300a_eb1
386,43,a2c0567,1,1,300a_wb1
387,43,e0c3cae,1,1,387a_wb1
388,43,fc4f8bf,1,1,201a_wb1
389,43,fc4f8bf,1,0,201a_eb1
390,43,c7347cd,1,0,391a_eb1
391,43,a2c0567,1,1,300a_wb1
392,43,a652b17,1,1,380a_wb1
393,43,2eef964,1,0,388a_eb1
