route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4820,4046A5368,594819A4046B5368,,Loop,0,7_shelpofat,1,1
4820,4047A5370,595141A4047B5370,,Loop,0,6_poeve,1,1
4817,4047A5371,595176A4047B5371,,Loop,0,6_holeve,3,1
4823,3903A5279,584834A3903B5279,,Loop,0,35,5,1
4820,3962A5279,585007A3962B5279,,Loop,0,31,1,1
4820,4046A5367,594817A4046B5367,,Loop,0,5_shelpofat,1,1
4820,3961A5279,584933A3961B5279,,Loop,0,25,1,1
4819,3903A5279,584562A3903B5279,,Loop,0,8,8,1
4820,4046A5368,594806A4046B5368,,Loop,0,2_shelpofat,1,1
4820,4047A5370,595129A4047B5370,,Loop,0,2_poeve,1,1
4817,4046A5368,595085A4046B5368,,Loop,0,1_holfat,3,1
4817,4047A5372,595176A4047B5372,,Loop,0,6_holeve,3,1
4820,4046A5368,594814A4046B5368,,Loop,0,6_shelpofat,1,1
4822,3903A5279,584803A3903B5279,,Loop,0,18,6,1
4817,4047A5369,595180A4047B5369,,Loop,0,4_holeve,3,1
4821,3903A5279,584744A3903B5279,,South Shell/Powell – The Towers,0,21,4,1
4817,4046A5367,595070A4046B5367,,Loop,0,4_holfat,3,1
4818,3903A5279,584506A3903B5279,,Loop,0,4,2,1
4817,4046A5368,595059A4046B5368,,Loop,0,2_holfat,3,1
4817,4047A5370,595190A4047B5370,,Loop,0,5_holeve,3,1
4820,4047A5371,595113A4047B5371,,Loop,0,2_poeve,1,1
4817,4047A5371,595170A4047B5371,,Loop,0,3_holeve,3,1
4819,3903A5279,584542A3903B5279,,Loop,0,9,8,1
4817,4047A5369,595154A4047B5369,,Loop,0,2_holeve,3,1
4817,4046A5368,595080A4046B5368,,Loop,0,2_holfat,3,1
4822,3903A5279,584801A3903B5279,,Loop,0,19,6,1
4820,3961A5279,584959A3961B5279,,Loop,0,29,1,1
4817,4046A5368,595057A4046B5368,,Loop,0,3_holfat,3,1
4817,4047A5372,595174A4047B5372,,Loop,0,4_holeve,3,1
4820,3962A5279,585005A3962B5279,,Loop,0,32,1,1
4820,3903A5279,584597A3903B5279,,Loop,0,19,1,1
4817,4046A5368,595101A4046B5368,,Loop,0,5_holfat,3,1
4820,4047A5371,595123A4047B5371,,Loop,0,4_poeve,1,1
4818,3903A5279,584485A3903B5279,,Loop,0,1,2,1
4820,4047A5372,595142A4047B5372,,Loop,0,7_poeve,1,1
4820,4047A5369,595110A4047B5369,,Loop,0,3_poeve,1,1
4820,3962A5279,584989A3962B5279,,Loop,0,31,1,1
4818,3903A5279,584520A3903B5279,,Loop,0,6,2,1
4820,4047A5372,595120A4047B5372,,Loop,0,1_poeve,1,1
4820,4047A5370,595108A4047B5370,,Loop,0,1_poeve,1,1
4817,4047A5369,595158A4047B5369,,Loop,0,3_holeve,3,1
4817,4046A5367,595083A4046B5367,,Loop,0,2_holfat,3,1
