stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
195,195,Hillview E @ Coyote Hill,37.402242,-122.145527,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=195
196,196,Porter @ Hillview Ave,37.408784,-122.147473,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=196
197,197,Page Mill @ Hanover E,37.417486,-122.146542,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=197
199,199,3145 Porter,37.408737,-122.151617,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=199
206,206,Rosewood Hotel,37.420013,-122.211784,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=206
211,211,Menlo Caltrain to MC,37.454224,-122.182128,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=211
212,212,El Camino @ Safeway,37.450735,-122.177891,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=212
213,213,El Camino @ Staples,37.451559,-122.178719,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=213
214,214,Menlo Caltrain to BOH,37.454616,-122.182422,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=214
216,216,PATC - Bus Depot,37.444115,-122.166435,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=216
217,217,El Camino @ Page Mill SB,37.422582,-122.141474,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=217
218,218,El Camino @ Page Mill NB,37.423427,-122.142365,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=218
219,219,El Camino Real @ Hansen,37.420571,-122.137604,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=219
220,220,El Camino @ Portage,37.421162,-122.138125,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=220
221,221,El Camino @ Maybell Ave,37.412124,-122.124914,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=221
222,222,El Camino @ El Camino Wy,37.412509,-122.1248,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=222
223,223,Cal Ave (SA Shopping),37.405004,-122.108985,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=223
224,224,Panama @ Via Ortega/L-25,37.427581,-122.176485,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=224
226,226,Panama @ Campus,37.430676,-122.178398,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=226
227,227,Roth Way @ Lokey,37.432131,-122.172435,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=227
228,228,700 Welch @ Barn/LPCH,37.437169,-122.173735,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=228
232,232,Stanford West Shelter,37.438915,-122.178588,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=232
236,236,Via Ortega @ Cypress Lot,37.428865,-122.176219,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=236
238,238,Via Ortega @ Y2E2,37.428861,-122.175972,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=238
240,240,Campus @ Stock Farm/L-17,37.430286,-122.180234,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=240
241,241,Campus @ Stock Farm,37.429663,-122.180355,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=241
242,242,Page Mill @ Hansen W,37.418632,-122.145915,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=242
243,243,Page Mill @ Hansen E,37.419166,-122.145134,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=243
244,244,Lucas on Welch Rd,37.433454,-122.179601,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=244
245,245,Welch Rd @ Lucas,37.433166,-122.179878,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=245
246,246,El Camino @ Park Blvd,37.430258,-122.151809,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=246
250,250,Olmsted @ Wellesley IB,37.425186,-122.152255,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=250
251,251,BOH at Cambell Tracks,37.478488,-122.181914,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=251
253,253,Flood Park on Bay Rd,37.475535,-122.175525,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=253
254,254,Bay Rd @ Flood Park,37.475633,-122.1756,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=254
255,255,3170 Porter Dr,37.407949,-122.150317,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=255
256,256,3165 Porter Dr,37.408008,-122.150186,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=256
257,257,Bohannon @ Campbell,37.478573,-122.182018,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=257
258,258,Quarry @ Stanford Barn,37.437593,-122.172127,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=258
259,259,4100 Bohannon,37.481084,-122.177114,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=259
260,260,4700 Bohannon,37.479701,-122.174724,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=260
261,261,Menlo Caltrain - Alma,37.455084,-122.182451,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=261
262,262,145 El Camino - M Park,37.44809,-122.173819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=262
263,263,300 El Camino - M Park,37.448419,-122.173821,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=263
264,264,Byers Eye Clinic,37.44822,-122.12035,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=264
265,265,1810 Embarcadero,37.450553,-122.114362,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=265
266,266,1850 Embarcadero,37.449723,-122.114223,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=266
267,267,Bowdoin @ Pine Hill,37.420217,-122.158265,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=267
268,268,Ringwood @ MA HS,37.460188,-122.173632,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=268
269,269,Ringwood @ Middlefield,37.460544,-122.173309,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=269
270,270,1755 Embarcadero,37.450532,-122.118514,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=270
271,271,1730 Embarcadero,37.450266,-122.118579,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=271
