stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
1013390,Keith Av:Mc Millan Av,37.845181,-122.248886,54367,,
1013400,Keller Av:Campus Dr,37.773181,-122.144995,57176,,
1013410,Keller Av:Campus Dr,37.772993,-122.144541,54756,,
1013420,Keller Av:Canyon Oaks,37.771470,-122.147287,53570,,
1013430,Keller Av:Canyon Oaks Dr,37.771279,-122.148093,57276,,
1013440,Keller Av:Earl St,37.770864,-122.157508,59662,,
1013450,Keller Av:Earl St,37.771079,-122.157449,52488,,
1013460,Keller Av:Greenly Dr,37.769790,-122.158903,58862,,
1013470,Keller Av:Greenridge Dr,37.772279,-122.154201,54407,,
1013480,Keller Av:Greenridge Dr,37.772457,-122.153922,57376,,
1013490,Keller Av:Rileaway (Sequoyah Community Church),37.770262,-122.150431,59663,,
1013500,Keller Av:Rilea Way,37.770464,-122.150921,57976,,
1013510,Keller Av:Sequoyah Rd,37.770096,-122.135287,59015,,
1013540,Kingsland Av:Mavis St,37.775111,-122.196848,56476,,
1013560,Laguna Av:Alida St,37.806198,-122.203225,53730,,
1013570,Lake Park Av:Grand Av,37.811396,-122.247693,54443,,
1013590,Lake Park Av:Wesley Way,37.809512,-122.244203,59902,,
1013600,Lake Shore Av:#4072 (Portsmouth Wk),37.816006,-122.235085,59019,,
1013610,Lake Shore Av:Boden Way,37.807419,-122.249460,59125,,
1013620,Lake Shore Av:Boden Way,37.807325,-122.249734,59488,,
1013630,Lake Shore Av:Brooklyn Av,37.805025,-122.250514,53750,,
1013640,Lake Shore Av:Brooklyn Av,37.804968,-122.250763,55758,,
1013650,Lake Shore Av:E 18th St,37.800731,-122.254504,51227,,
1013670,Lake Shore Av:E 18th St,37.800275,-122.254420,52727,,
1013680,Lake Shore Av:Hanover Av,37.802714,-122.253712,51124,,
1013690,Lake Shore Av:Hanover Av,37.802371,-122.254253,51353,,
1013700,Lake Shore Av:Harvard Rd,37.815710,-122.237113,59129,,
1013730,Lake Shore Av:Longridge Rd,37.811107,-122.242719,59903,,place_MBLS
1013740,Lake Shore Av:MacArthur Blvd,37.809262,-122.247511,54900,,
1013750,Lake Shore Av:Mandana Blvd,37.811737,-122.241866,54405,,place_MBLS
1013760,Lake Shore Av:Mandana Blvd,37.811710,-122.242200,56557,,place_MBLS
1013770,Lake Shore Av:Park Ln,37.815907,-122.232836,59160,,
1013780,Lake Shore Av:Prince St,37.812879,-122.241049,56001,,
1013790,Lake Shore Av:Rosal Av,37.813928,-122.239256,59235,,
1013800,Lake Shore Av:Rosal Av,37.813733,-122.239880,55483,,
1013810,Lake Shore Av:Santa Ray Av,37.812624,-122.241016,59239,,
1013820,Lake Shore Av:Wala Vista Av,37.814854,-122.238208,59260,,
1013830,Lake Shore Av:Wala Vista Av,37.814525,-122.232105,57343,,
1013840,Leimert Blvd:#1768,37.812225,-122.210671,59360,,
1013850,Leimert Blvd:#1789,37.812526,-122.210663,59561,,
1013860,Leimert Blvd:#2020,37.813736,-122.208795,59562,,
1013870,Leimert Blvd:#2032,37.813903,-122.208846,59563,,
1013880,Leimert Blvd:#2565,37.815536,-122.204408,59620,,
1013890,Leimert Blvd:Bridgeview Dr,37.811532,-122.210425,59630,,
1013900,Leimert Blvd:Bywood Dr,37.816915,-122.207103,50131,,
1013910,Leimert Blvd:Bywood Dr,37.816829,-122.207253,50135,,
1013920,Leimert Blvd:Carter St,37.816172,-122.209138,51360,,
1013930,Leimert Blvd:Carter St,37.816097,-122.209018,51390,,
1013940,Leimert Blvd:Clemens Rd,37.811717,-122.212691,57410,,
1013950,Leimert Blvd:Clemens Rd,37.811859,-122.212612,54764,,
1013960,Leimert Blvd:Hoover Av,37.811573,-122.210075,56131,,
1013970,Leimert Blvd:Monterey Blvd,37.815300,-122.202710,56135,,
1013980,Leimert Blvd:Monterey Blvd,37.815190,-122.202810,56136,,
1013990,Leimert Blvd:Oak Crest Dr,37.816597,-122.205524,57458,,
1014000,Leimert Blvd:Oak Crest Dr,37.816737,-122.205859,57480,,
1014010,Leimert Blvd:Oakview Dr,37.813083,-122.210251,58087,,
1014020,Leimert Blvd:Oakview Dr,37.813109,-122.210064,58187,,
1014030,Leimert Blvd:Wrenn St,37.812781,-122.208784,58287,,
1014040,Leimert Blvd:Wrenn St,37.812854,-122.208613,58387,,
