route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,20141214-1,20141214-251024,Northbound,0,20141214-8,20141214-CS-9
14,20141214-1,20141214-251025,Southbound,1,20141214-7,20141214-CS-18
14,20141214-1,20141214-251026,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251027,Southbound,1,20141214-10,20141214-CS-18
14,20141214-1,20141214-251029,Southbound,1,20141214-9,20141214-CS-18
15,20141214-1,20141214-257001,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257002,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257003,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257004,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257005,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257006,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257007,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257008,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257009,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257010,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257011,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257012,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257013,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257014,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257015,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257016,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257017,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257018,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257019,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257020,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257021,Southbound,1,20141214-11,20141214-CS-1
15,20141214-1,20141214-257022,Northbound,0,20141214-12,20141214-CS-0
15,20141214-1,20141214-257023,Southbound,1,20141214-12,20141214-CS-1
15,20141214-1,20141214-257024,Northbound,0,20141214-11,20141214-CS-0
15,20141214-1,20141214-257025,Southbound,1,20141214-11,20141214-CS-1
16,20141214-1,20141214-259001,Southbound,1,20141214-10,20141214-CS-5
16,20141214-1,20141214-259002,Northbound,0,20141214-9,20141214-CS-4
16,20141214-1,20141214-259003,Southbound,1,20141214-9,20141214-CS-5
16,20141214-1,20141214-259004,Northbound,0,20141214-10,20141214-CS-4
16,20141214-1,20141214-259005,Southbound,1,20141214-10,20141214-CS-5
16,20141214-1,20141214-259006,Northbound,0,20141214-9,20141214-CS-4
16,20141214-1,20141214-259007,Southbound,1,20141214-9,20141214-CS-5
16,20141214-1,20141214-259008,Northbound,0,20141214-10,20141214-CS-4
16,20141214-1,20141214-259009,Southbound,1,20141214-10,20141214-CS-5
16,20141214-1,20141214-259010,Northbound,0,20141214-3,20141214-CS-4
16,20141214-1,20141214-259011,Southbound,1,20141214-3,20141214-CS-5
16,20141214-1,20141214-259012,Northbound,0,20141214-9,20141214-CS-4
16,20141214-1,20141214-259013,Southbound,1,20141214-9,20141214-CS-5
16,20141214-1,20141214-259014,Northbound,0,20141214-10,20141214-CS-4
16,20141214-1,20141214-259015,Southbound,1,20141214-10,20141214-CS-5
16,20141214-1,20141214-259016,Northbound,0,20141214-9,20141214-CS-4
16,20141214-1,20141214-259017,Southbound,1,20141214-9,20141214-CS-5
