trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,last_stop_on_trip
t102-sl2-p71-r19,,,201,1136,,,,17598,
t102-sl2-p71-r19,,,25,1188,,,,18551,
t102-sl2-p71-r19,,,231,1223,,,,19209,
t102-sl2-p71-r19,,,443,1309,,,,20807,
t102-sl2-p71-r19,07:08:00,07:08:00,439,1380,,,,22128,
t102-sl2-p71-r19,,,371,1444,,,,23293,
t102-sl2-p71-r19,,,154,1552,,,,25259,
t102-sl2-p71-r19,,,452,1590,,,,25947,
t102-sl2-p71-r19,,,166,1683,,,,27632,
t102-sl2-p71-r19,07:14:00,07:14:00,156,1740,,,,28663,
t102-sl2-p71-r19,,,167,1852,,,,29824,
t102-sl2-p71-r19,,,161,1981,,,,31147,
t102-sl2-p71-r19,,,153,2054,,,,31895,
t102-sl2-p71-r19,,,162,2118,,,,32558,
t102-sl2-p71-r19,,,168,2181,,,,33203,
t102-sl2-p71-r19,,,56,2266,,,,34081,
t102-sl2-p71-r19,07:25:00,07:25:00,26,2400,,,,35456,1
t103-sl2-p71-r3,07:10:00,07:15:00,26,0,,,,0,
t103-sl2-p71-r3,,,145,83,,,,1543,
t103-sl2-p71-r3,,,146,111,,,,2049,
t103-sl2-p71-r3,,,364,156,,,,2871,
t103-sl2-p71-r3,,,365,197,,,,3636,
t103-sl2-p71-r3,,,372,235,,,,4329,
t103-sl2-p71-r3,,,373,306,,,,5630,
t103-sl2-p71-r3,07:21:00,07:21:00,157,360,,,,6613,
t103-sl2-p71-r3,,,158,396,,,,7372,
t103-sl2-p71-r3,,,152,446,,,,8405,
t103-sl2-p71-r3,,,159,566,,,,10899,
t103-sl2-p71-r3,,,160,612,,,,11840,
t103-sl2-p71-r3,07:26:00,07:26:00,155,660,,,,12829,
t103-sl2-p71-r3,,,108,889,,,,14853,
t103-sl2-p71-r3,,,46,985,,,,15705,
t103-sl2-p71-r3,07:33:00,07:33:00,128,1080,,,,16536,
t103-sl2-p71-r3,,,352,1099,,,,16904,
t103-sl2-p71-r3,,,201,1136,,,,17598,
t103-sl2-p71-r3,,,25,1188,,,,18551,
t103-sl2-p71-r3,,,231,1223,,,,19209,
t103-sl2-p71-r3,,,443,1309,,,,20807,
t103-sl2-p71-r3,07:38:00,07:38:00,439,1380,,,,22128,
t103-sl2-p71-r3,,,371,1444,,,,23293,
t103-sl2-p71-r3,,,154,1552,,,,25259,
t103-sl2-p71-r3,,,452,1590,,,,25947,
t103-sl2-p71-r3,,,166,1683,,,,27632,
t103-sl2-p71-r3,07:44:00,07:44:00,156,1740,,,,28663,
t103-sl2-p71-r3,,,167,1852,,,,29824,
t103-sl2-p71-r3,,,161,1981,,,,31147,
t103-sl2-p71-r3,,,153,2054,,,,31895,
t103-sl2-p71-r3,,,162,2118,,,,32558,
t103-sl2-p71-r3,,,168,2181,,,,33203,
t103-sl2-p71-r3,,,56,2266,,,,34081,
t103-sl2-p71-r3,07:55:00,07:55:00,26,2400,,,,35456,1
t104-sl2-p71-r13,07:40:00,07:45:00,26,0,,,,0,
t104-sl2-p71-r13,,,145,83,,,,1543,
t104-sl2-p71-r13,,,146,111,,,,2049,
t104-sl2-p71-r13,,,364,156,,,,2871,
t104-sl2-p71-r13,,,365,197,,,,3636,
t104-sl2-p71-r13,,,372,235,,,,4329,
t104-sl2-p71-r13,,,373,306,,,,5630,
t104-sl2-p71-r13,07:51:00,07:51:00,157,360,,,,6613,
t104-sl2-p71-r13,,,158,396,,,,7372,
t104-sl2-p71-r13,,,152,446,,,,8405,
t104-sl2-p71-r13,,,159,566,,,,10899,
t104-sl2-p71-r13,,,160,612,,,,11840,
t104-sl2-p71-r13,07:56:00,07:56:00,155,660,,,,12829,
t104-sl2-p71-r13,,,108,889,,,,14853,
t104-sl2-p71-r13,,,46,985,,,,15705,
t104-sl2-p71-r13,08:03:00,08:03:00,128,1080,,,,16536,
t104-sl2-p71-r13,,,352,1099,,,,16904,
t104-sl2-p71-r13,,,201,1136,,,,17598,
t104-sl2-p71-r13,,,25,1188,,,,18551,
t104-sl2-p71-r13,,,231,1223,,,,19209,
t104-sl2-p71-r13,,,443,1309,,,,20807,
t104-sl2-p71-r13,08:08:00,08:08:00,439,1380,,,,22128,
t104-sl2-p71-r13,,,371,1444,,,,23293,
t104-sl2-p71-r13,,,154,1552,,,,25259,
t104-sl2-p71-r13,,,452,1590,,,,25947,
t104-sl2-p71-r13,,,166,1683,,,,27632,
t104-sl2-p71-r13,08:14:00,08:14:00,156,1740,,,,28663,
t104-sl2-p71-r13,,,167,1852,,,,29824,
t104-sl2-p71-r13,,,161,1981,,,,31147,
t104-sl2-p71-r13,,,153,2054,,,,31895,
t104-sl2-p71-r13,,,162,2118,,,,32558,
t104-sl2-p71-r13,,,168,2181,,,,33203,
t104-sl2-p71-r13,,,56,2266,,,,34081,
t104-sl2-p71-r13,08:25:00,08:25:00,26,2400,,,,35456,1
t104-sl3-p72-r51,07:40:00,07:45:00,26,0,,,,0,
t104-sl3-p72-r51,,,145,83,,,,1543,
t104-sl3-p72-r51,,,146,111,,,,2049,
t104-sl3-p72-r51,,,364,156,,,,2871,
t104-sl3-p72-r51,,,365,197,,,,3636,
t104-sl3-p72-r51,,,372,235,,,,4329,
t104-sl3-p72-r51,,,373,306,,,,5630,
t104-sl3-p72-r51,07:51:00,07:51:00,157,360,,,,6613,
t104-sl3-p72-r51,,,158,396,,,,7372,
t104-sl3-p72-r51,,,152,446,,,,8405,
t104-sl3-p72-r51,,,159,566,,,,10899,
t104-sl3-p72-r51,,,160,612,,,,11840,
t104-sl3-p72-r51,07:56:00,07:56:00,155,660,,,,12829,
t104-sl3-p72-r51,,,108,889,,,,14853,
t104-sl3-p72-r51,,,46,985,,,,15705,
t104-sl3-p72-r51,08:03:00,08:03:00,128,1080,,,,16536,
t104-sl3-p72-r51,,,352,1099,,,,16904,
t104-sl3-p72-r51,,,201,1136,,,,17598,
t104-sl3-p72-r51,,,25,1188,,,,18551,
t104-sl3-p72-r51,,,231,1223,,,,19209,
t104-sl3-p72-r51,,,443,1309,,,,20807,
t104-sl3-p72-r51,08:08:00,08:08:00,439,1380,,,,22128,
t104-sl3-p72-r51,,,371,1444,,,,23293,
t104-sl3-p72-r51,,,154,1552,,,,25259,
t104-sl3-p72-r51,,,452,1590,,,,25947,
t104-sl3-p72-r51,,,166,1683,,,,27632,
t104-sl3-p72-r51,08:14:00,08:14:00,156,1740,,,,28663,
t104-sl3-p72-r51,,,167,1852,,,,29824,
t104-sl3-p72-r51,,,161,1981,,,,31147,
t104-sl3-p72-r51,,,153,2054,,,,31895,
t104-sl3-p72-r51,,,162,2118,,,,32558,
t104-sl3-p72-r51,,,168,2181,,,,33203,
t104-sl3-p72-r51,,,56,2266,,,,34081,
t104-sl3-p72-r51,08:25:00,08:25:00,26,2400,,,,35456,1
t105-sl2-p71-r37,08:10:00,08:15:00,26,0,,,,0,
t105-sl2-p71-r37,,,145,83,,,,1543,
t105-sl2-p71-r37,,,146,111,,,,2049,
t105-sl2-p71-r37,,,364,156,,,,2871,
t105-sl2-p71-r37,,,365,197,,,,3636,
t105-sl2-p71-r37,,,372,235,,,,4329,
t105-sl2-p71-r37,,,373,306,,,,5630,
t105-sl2-p71-r37,08:21:00,08:21:00,157,360,,,,6613,
t105-sl2-p71-r37,,,158,396,,,,7372,
t105-sl2-p71-r37,,,152,446,,,,8405,
t105-sl2-p71-r37,,,159,566,,,,10899,
t105-sl2-p71-r37,,,160,612,,,,11840,
t105-sl2-p71-r37,08:26:00,08:26:00,155,660,,,,12829,
t105-sl2-p71-r37,,,108,889,,,,14853,
t105-sl2-p71-r37,,,46,985,,,,15705,
t105-sl2-p71-r37,08:33:00,08:33:00,128,1080,,,,16536,
t105-sl2-p71-r37,,,352,1099,,,,16904,
t105-sl2-p71-r37,,,201,1136,,,,17598,
t105-sl2-p71-r37,,,25,1188,,,,18551,
t105-sl2-p71-r37,,,231,1223,,,,19209,
t105-sl2-p71-r37,,,443,1309,,,,20807,
t105-sl2-p71-r37,08:38:00,08:38:00,439,1380,,,,22128,
t105-sl2-p71-r37,,,371,1444,,,,23293,
t105-sl2-p71-r37,,,154,1552,,,,25259,
t105-sl2-p71-r37,,,452,1590,,,,25947,
t105-sl2-p71-r37,,,166,1683,,,,27632,
t105-sl2-p71-r37,08:44:00,08:44:00,156,1740,,,,28663,
t105-sl2-p71-r37,,,167,1852,,,,29824,
t105-sl2-p71-r37,,,161,1981,,,,31147,
t105-sl2-p71-r37,,,153,2054,,,,31895,
t105-sl2-p71-r37,,,162,2118,,,,32558,
t105-sl2-p71-r37,,,168,2181,,,,33203,
t105-sl2-p71-r37,,,56,2266,,,,34081,
t105-sl2-p71-r37,08:55:00,08:55:00,26,2400,,,,35456,1
t106-sl2-p71-r29,08:40:00,08:45:00,26,0,,,,0,
t106-sl2-p71-r29,,,145,83,,,,1543,
t106-sl2-p71-r29,,,146,111,,,,2049,
t106-sl2-p71-r29,,,364,156,,,,2871,
t106-sl2-p71-r29,,,365,197,,,,3636,
t106-sl2-p71-r29,,,372,235,,,,4329,
t106-sl2-p71-r29,,,373,306,,,,5630,
t106-sl2-p71-r29,08:51:00,08:51:00,157,360,,,,6613,
t106-sl2-p71-r29,,,158,396,,,,7372,
t106-sl2-p71-r29,,,152,446,,,,8405,
t106-sl2-p71-r29,,,159,566,,,,10899,
t106-sl2-p71-r29,,,160,612,,,,11840,
t106-sl2-p71-r29,08:56:00,08:56:00,155,660,,,,12829,
t106-sl2-p71-r29,,,108,889,,,,14853,
t106-sl2-p71-r29,,,46,985,,,,15705,
t106-sl2-p71-r29,09:03:00,09:03:00,128,1080,,,,16536,
t106-sl2-p71-r29,,,352,1099,,,,16904,
t106-sl2-p71-r29,,,201,1136,,,,17598,
t106-sl2-p71-r29,,,25,1188,,,,18551,
t106-sl2-p71-r29,,,231,1223,,,,19209,
t106-sl2-p71-r29,,,443,1309,,,,20807,
t106-sl2-p71-r29,09:08:00,09:08:00,439,1380,,,,22128,
t106-sl2-p71-r29,,,371,1444,,,,23293,
t106-sl2-p71-r29,,,154,1552,,,,25259,
t106-sl2-p71-r29,,,452,1590,,,,25947,
t106-sl2-p71-r29,,,166,1683,,,,27632,
t106-sl2-p71-r29,09:14:00,09:14:00,156,1740,,,,28663,
t106-sl2-p71-r29,,,167,1852,,,,29824,
t106-sl2-p71-r29,,,161,1981,,,,31147,
t106-sl2-p71-r29,,,153,2054,,,,31895,
t106-sl2-p71-r29,,,162,2118,,,,32558,
t106-sl2-p71-r29,,,168,2181,,,,33203,
t106-sl2-p71-r29,,,56,2266,,,,34081,
t106-sl2-p71-r29,09:25:00,09:25:00,26,2400,,,,35456,1
t106-sl3-p72-r67,08:40:00,08:45:00,26,0,,,,0,
t106-sl3-p72-r67,,,145,83,,,,1543,
t106-sl3-p72-r67,,,146,111,,,,2049,
t106-sl3-p72-r67,,,364,156,,,,2871,
t106-sl3-p72-r67,,,365,197,,,,3636,
t106-sl3-p72-r67,,,372,235,,,,4329,
t106-sl3-p72-r67,,,373,306,,,,5630,
t106-sl3-p72-r67,08:51:00,08:51:00,157,360,,,,6613,
t106-sl3-p72-r67,,,158,396,,,,7372,
t106-sl3-p72-r67,,,152,446,,,,8405,
t106-sl3-p72-r67,,,159,566,,,,10899,
t106-sl3-p72-r67,,,160,612,,,,11840,
t106-sl3-p72-r67,08:56:00,08:56:00,155,660,,,,12829,
t106-sl3-p72-r67,,,108,889,,,,14853,
t106-sl3-p72-r67,,,46,985,,,,15705,
t106-sl3-p72-r67,09:03:00,09:03:00,128,1080,,,,16536,
t106-sl3-p72-r67,,,352,1099,,,,16904,
t106-sl3-p72-r67,,,201,1136,,,,17598,
t106-sl3-p72-r67,,,25,1188,,,,18551,
t106-sl3-p72-r67,,,231,1223,,,,19209,
t106-sl3-p72-r67,,,443,1309,,,,20807,
t106-sl3-p72-r67,09:08:00,09:08:00,439,1380,,,,22128,
t106-sl3-p72-r67,,,371,1444,,,,23293,
t106-sl3-p72-r67,,,154,1552,,,,25259,
t106-sl3-p72-r67,,,452,1590,,,,25947,
t106-sl3-p72-r67,,,166,1683,,,,27632,
t106-sl3-p72-r67,09:14:00,09:14:00,156,1740,,,,28663,
t106-sl3-p72-r67,,,167,1852,,,,29824,
t106-sl3-p72-r67,,,161,1981,,,,31147,
t106-sl3-p72-r67,,,153,2054,,,,31895,
t106-sl3-p72-r67,,,162,2118,,,,32558,
t106-sl3-p72-r67,,,168,2181,,,,33203,
t106-sl3-p72-r67,,,56,2266,,,,34081,
t106-sl3-p72-r67,09:25:00,09:25:00,26,2400,,,,35456,1
t107-sl2-p71-r23,09:10:00,09:15:00,26,0,,,,0,
t107-sl2-p71-r23,,,145,83,,,,1543,
t107-sl2-p71-r23,,,146,111,,,,2049,
t107-sl2-p71-r23,,,364,156,,,,2871,
t107-sl2-p71-r23,,,365,197,,,,3636,
t107-sl2-p71-r23,,,372,235,,,,4329,
t107-sl2-p71-r23,,,373,306,,,,5630,
t107-sl2-p71-r23,09:21:00,09:21:00,157,360,,,,6613,
t107-sl2-p71-r23,,,158,396,,,,7372,
t107-sl2-p71-r23,,,152,446,,,,8405,
t107-sl2-p71-r23,,,159,566,,,,10899,
t107-sl2-p71-r23,,,160,612,,,,11840,
t107-sl2-p71-r23,09:26:00,09:26:00,155,660,,,,12829,
t107-sl2-p71-r23,,,108,889,,,,14853,
t107-sl2-p71-r23,,,46,985,,,,15705,
t107-sl2-p71-r23,09:33:00,09:33:00,128,1080,,,,16536,
t107-sl2-p71-r23,,,352,1099,,,,16904,
t107-sl2-p71-r23,,,201,1136,,,,17598,
t107-sl2-p71-r23,,,25,1188,,,,18551,
t107-sl2-p71-r23,,,231,1223,,,,19209,
t107-sl2-p71-r23,,,443,1309,,,,20807,
t107-sl2-p71-r23,09:38:00,09:38:00,439,1380,,,,22128,
t107-sl2-p71-r23,,,371,1444,,,,23293,
t107-sl2-p71-r23,,,154,1552,,,,25259,
t107-sl2-p71-r23,,,452,1590,,,,25947,
t107-sl2-p71-r23,,,166,1683,,,,27632,
t107-sl2-p71-r23,09:44:00,09:44:00,156,1740,,,,28663,
t107-sl2-p71-r23,,,167,1852,,,,29824,
t107-sl2-p71-r23,,,161,1981,,,,31147,
t107-sl2-p71-r23,,,153,2054,,,,31895,
t107-sl2-p71-r23,,,162,2118,,,,32558,
t107-sl2-p71-r23,,,168,2181,,,,33203,
t107-sl2-p71-r23,,,56,2266,,,,34081,
t107-sl2-p71-r23,09:55:00,09:55:00,26,2400,,,,35456,1
t108-sl2-p71-r5,09:40:00,09:45:00,26,0,,,,0,
t108-sl2-p71-r5,,,145,83,,,,1543,
t108-sl2-p71-r5,,,146,111,,,,2049,
t108-sl2-p71-r5,,,364,156,,,,2871,
t108-sl2-p71-r5,,,365,197,,,,3636,
t108-sl2-p71-r5,,,372,235,,,,4329,
t108-sl2-p71-r5,,,373,306,,,,5630,
t108-sl2-p71-r5,09:51:00,09:51:00,157,360,,,,6613,
