shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29406,37.79066,1,0.00000000
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29416,37.79119,2,59.48181030
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29419,37.7913,3,71.97366560
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29402,37.79189,4,139.14936280
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28039,37.79372,5,1356.72766210
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28006,37.79392,6,1393.30070530
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28005,37.79418,7,1422.17221480
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28015,37.79444,8,1452.34445920
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.27978,37.79503,9,1525.49068740
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28015,37.79444,10,1598.63691570
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.2806,37.794,11,1661.53321150
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28101,37.79384,12,1701.77549120
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28369,37.79395,13,1938.13929300
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.28604,37.7938,14,2145.79047430
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29365,37.79241,15,2833.59531450
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.29681,37.79213,16,3113.65664660
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.30039,37.79193,17,3429.76318120
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.30417,37.7923,18,3765.22810530
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.33096,37.79869,19,6229.06780080
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.3327,37.7988,20,6382.79858740
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.36549,37.79739,21,9274.94055070
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.39194,37.79624,22,11607.99853530
f29cdc7b-1b75-411a-8d17-7c7f0a6966f8,-122.39206,37.7959,23,11647.18810440
