shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8101680,-122.4134380,31,14184.3984472
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8096590,-122.4123440,32,14296.0783133
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8095940,-122.4122722,33,14305.6695541
86435409-7625-4bd9-8c22-20382886e8d0,37.7950320,-122.2797772,1,0.0000000
86435409-7625-4bd9-8c22-20382886e8d0,37.7944420,-122.2801480,2,73.1760750
86435409-7625-4bd9-8c22-20382886e8d0,37.7941960,-122.2800510,3,101.7856760
86435409-7625-4bd9-8c22-20382886e8d0,37.7939230,-122.2800620,4,132.1021365
86435409-7625-4bd9-8c22-20382886e8d0,37.7937220,-122.2803570,5,166.3487105
86435409-7625-4bd9-8c22-20382886e8d0,37.7931260,-122.2860330,6,670.6385993
86435409-7625-4bd9-8c22-20382886e8d0,37.7919980,-122.2934040,7,1331.8327729
86435409-7625-4bd9-8c22-20382886e8d0,37.7911910,-122.2941570,8,1443.2863903
86435409-7625-4bd9-8c22-20382886e8d0,37.7906670,-122.2940580,9,1502.0964147
86435409-7625-4bd9-8c22-20382886e8d0,37.7911910,-122.2941570,10,1560.9064392
86435409-7625-4bd9-8c22-20382886e8d0,37.7914590,-122.2944570,11,1600.6941792
86435409-7625-4bd9-8c22-20382886e8d0,37.7921370,-122.2968070,12,1820.9377528
86435409-7625-4bd9-8c22-20382886e8d0,37.7919340,-122.3003900,13,2137.3313901
86435409-7625-4bd9-8c22-20382886e8d0,37.7923070,-122.3041670,14,2472.5749969
86435409-7625-4bd9-8c22-20382886e8d0,37.7986950,-122.3309570,15,4936.3506181
86435409-7625-4bd9-8c22-20382886e8d0,37.7988090,-122.3327000,16,5090.3806084
86435409-7625-4bd9-8c22-20382886e8d0,37.7973930,-122.3654870,17,7982.2946234
86435409-7625-4bd9-8c22-20382886e8d0,37.7962430,-122.3919340,18,10315.0886869
86435409-7625-4bd9-8c22-20382886e8d0,37.7959000,-122.3920560,19,10354.6464825
86435409-7625-4bd9-8c22-20382886e8d0,37.7962760,-122.3919100,20,10398.3158668
86435409-7625-4bd9-8c22-20382886e8d0,37.7985400,-122.3888720,21,10765.3821464
86435409-7625-4bd9-8c22-20382886e8d0,37.7986630,-122.3888180,22,10779.8389207
86435409-7625-4bd9-8c22-20382886e8d0,37.7988280,-122.3888230,23,10798.1580050
86435409-7625-4bd9-8c22-20382886e8d0,37.7989640,-122.3888610,24,10813.6195613
86435409-7625-4bd9-8c22-20382886e8d0,37.7991840,-122.3890380,25,10842.5896190
86435409-7625-4bd9-8c22-20382886e8d0,37.8096280,-122.3969110,26,12193.3233088
86435409-7625-4bd9-8c22-20382886e8d0,37.8104880,-122.3982630,27,12345.9193915
86435409-7625-4bd9-8c22-20382886e8d0,37.8131400,-122.4065960,28,13136.5321162
86435409-7625-4bd9-8c22-20382886e8d0,37.8134580,-122.4092080,29,13369.2234077
86435409-7625-4bd9-8c22-20382886e8d0,37.8134450,-122.4099320,30,13432.9911843
86435409-7625-4bd9-8c22-20382886e8d0,37.8133480,-122.4103610,31,13472.2708823
86435409-7625-4bd9-8c22-20382886e8d0,37.8127120,-122.4116000,32,13602.2170254
86435409-7625-4bd9-8c22-20382886e8d0,37.8117030,-122.4126730,33,13748.7414712
86435409-7625-4bd9-8c22-20382886e8d0,37.8100710,-122.4135770,34,13946.6016449
86435409-7625-4bd9-8c22-20382886e8d0,37.8096580,-122.4123300,35,14065.5948572
86435409-7625-4bd9-8c22-20382886e8d0,37.8095940,-122.4122722,36,14074.3316004
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7959000,-122.3920560,1,0.0000000
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7962630,-122.3919200,2,42.0331733
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7965430,-122.3849030,3,660.8344761
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7960090,-122.3835190,4,796.3759347
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7927030,-122.3751400,5,1620.5651846
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7856080,-122.3630060,6,2948.1507727
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7715350,-122.3343740,7,5914.9900943
ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,37.7402380,-122.3246480,8,9492.8760024
